date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:52	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202019%2016:21:52%20GMT	http://52.66.5.98/robots.txt		(from )
21:51:53	93528/93528	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202019%2016:21:52%20GMT	http://52.66.5.98/	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/index.html	(from )
21:51:54	1026/1026	---M-Z	200	added ('OK')	application/rss+xml	etag:%226c026295308f19460d960e9a9ccd0cf5-gzip%22	http://52.66.5.98/feed/	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/feed/index.html	(from http://52.66.5.98/)
21:51:54	712/712	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c7ed427b3debaef69335563374cfc2e5-gzip%22	http://52.66.5.98/comments/feed/	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/comments/feed/index.html	(from http://52.66.5.98/)
21:51:56	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-599e19508ade9%22	http://52.66.5.98/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-includes/css/dist/block-library/style.min9dff.css	(from http://52.66.5.98/)
21:51:56	1939/1939	---M-Z	200	added ('OK')	text/css	etag:%22793-599e19508ade9%22	http://52.66.5.98/wp-includes/css/dist/block-library/theme.min.css?ver=5.3.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-includes/css/dist/block-library/theme.min9dff.css	(from http://52.66.5.98/)
21:51:57	128983/128983	---M-Z	200	added ('OK')	text/css	etag:%221f7d7-599f4996f6e49%22	http://52.66.5.98/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.3	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/google-language-translator/css/style1eb7.css	(from http://52.66.5.98/)
21:51:58	5100/5100	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://52.66.5.98/wp-content/plugins/google-language-translator/css/A.toolbar.css,qver=6.0.3.pagespeed.cf.Nn8JN1agSk.css	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/google-language-translator/css/A.toolbar.css,qver=6.0.3.pagespeed.cf.Nn8JN1agSk.css	(from http://52.66.5.98/)
21:51:58	5876/5876	---M-Z	200	added ('OK')	text/css	etag:%2216f4-599f987006371%22	http://52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/css/stylenews.css?ver=4.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/css/stylenewsbc19.css	(from http://52.66.5.98/)
21:51:59	212849/212849	---M-Z	200	added ('OK')	text/css	etag:%2233f71-58850eb9931c0%22	http://52.66.5.98/wp-content/themes/twentynineteen/style.css?ver=1.4	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/themes/twentynineteen/stylead05.css	(from http://52.66.5.98/)
21:52:54	14983/14983	---M-Z	200	added ('OK')	text/css	etag:%223a87-599e19e84220b%22	http://52.66.5.98/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.5.0	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeba.css	(from http://52.66.5.98/)
21:52:55	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-599e19e83f32b%22	http://52.66.5.98/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.8.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor/assets/lib/animations/animations.min4dc3.css	(from http://52.66.5.98/)
21:52:56	104255/104255	---M-Z	200	added ('OK')	text/css	etag:%221973f-599e19e8431ab%22	http://52.66.5.98/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.8.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor/assets/css/frontend.min4dc3.css	(from http://52.66.5.98/)
21:52:57	18861/18861	---M-Z	200	added ('OK')	text/css	etag:%2249ad-599f6d5f574ea%22	http://52.66.5.98/wp-content/uploads/elementor/css/global.css?ver=1576660314	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/elementor/css/global2c98.css	(from http://52.66.5.98/)
21:52:58	186605/186605	---M-Z	200	added ('OK')	text/css	etag:%222d8ed-599e1a22f1b77%22	http://52.66.5.98/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.2.5	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor-pro/assets/css/frontend.min5bf8.css	(from http://52.66.5.98/)
21:52:59	33661/33661	---M-Z	200	added ('OK')	text/css	etag:W/%22837d-59a10b2c553ba%22	http://52.66.5.98/wp-content/uploads/elementor/css/post-8.css?ver=1576771392	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/elementor/css/post-85313.css	(from http://52.66.5.98/)
21:53:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Dec%202019%2016:23:01%20GMT	http://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.e1849.delayed	(from http://52.66.5.98/)
21:53:01	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%227918-USx9eQM+MCipvmG1QM8aaHDIlvg%22	https://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css	(from http://52.66.5.98/)
21:53:24	54540/54540	---M-Z	200	added ('OK')	text/css	etag:%22d50c-599e19e84126b%22	http://52.66.5.98/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.9.0	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minad76.css	(from http://52.66.5.98/)
21:53:24	667/667	---M-Z	200	added ('OK')	text/css	etag:%2229b-599e19e84126b%22	http://52.66.5.98/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.9.0	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minad76.css	(from http://52.66.5.98/)
21:53:26	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://52.66.5.98/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://52.66.5.98/)
21:53:29	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-589186fe43340%22	http://52.66.5.98/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-includes/js/jquery/jquery4a5f.js	(from http://52.66.5.98/)
21:53:29	3339/3339	---M-Z	200	added ('OK')	application/javascript	etag:%22d0b-599f987006371%22	http://52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/js/jquery.newstape.js?ver=4.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/js/jquery.newstapebc19.js	(from http://52.66.5.98/)
21:53:30	428/428	---M-Z	200	added ('OK')	application/javascript	etag:%221ac-599f987006371%22	http://52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/js/sp-news-public.js?ver=4.2	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/plugins/sp-news-and-widget/assets/js/sp-news-publicbc19.js	(from http://52.66.5.98/)
21:53:30	768/768	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Dec%202019%2016:23:31%20GMT	http://52.66.5.98/xmlrpc.php?rsd	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/xmlrpc0db0.php	(from http://52.66.5.98/)
21:53:31	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://52.66.5.98/wp-includes/wlwmanifest.xml	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-includes/wlwmanifest.xml	(from http://52.66.5.98/)
21:53:32	2163/2163	---MC-	200	added ('OK')	application/json	date:Thu,%2019%20Dec%202019%2016:23:32%20GMT	http://52.66.5.98/wp-json/oembed/1.0/embed?url=http%3A%2F%2F52.66.5.98%2F	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-json/oembed/1.0/embedcdde.json	(from http://52.66.5.98/)
21:53:33	2262/2262	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Dec%202019%2016:23:33%20GMT	http://52.66.5.98/wp-json/oembed/1.0/embed?url=http%3A%2F%2F52.66.5.98%2F&format=xml	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-json/oembed/1.0/embeddbce	(from http://52.66.5.98/)
21:53:34	771/771	---M--	200	added ('OK')	image/png	etag:%22303-59a0fc47f8553%22	http://52.66.5.98/wp-content/uploads/2019/12/cropped-167-32x32.png	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/cropped-167-32x32.png	(from http://52.66.5.98/)
21:53:35	8513/8513	---M--	200	added ('OK')	image/png	etag:%222141-59a0fc47ef8b2%22	http://52.66.5.98/wp-content/uploads/2019/12/cropped-167-192x192.png	C:/Users/Utkrisht%20Agrawal/Desktop/xMETADORz/52.66.5.98/wp-content/uploads/2019/12/cropped-167-192x192.png	(from http://52.66.5.98/)
